x,y,vx,vy,u,h,rho
1,1,0.000000000000000000000000000000000000000000000000000000000000000023196991481725563,0.000000000000000000000000000000000000000000000000000000000000000023488983569673116,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006969716460444747,0.0625,0.9999576128739698
0.03125,1,-0.000000000000000000000000000000000000000000000000000035063043725734765,0.0000000000000000000000000000000000000000000000000000000025878300450745224,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000017422970605448075,0.0625,0.9999576128739698
0.0625,1,-0.000000000000000000000000000000000000000000000017834239583705354,0.0000000000000000000000000000000000000000000000000002577134616403531,0.0000000000000000000000000000000000000000000000000000000000000000000000000000049409695594242295,0.0625,0.99995761287397
0.09375,1,-0.0000000000000000000000000000000000000000009304370178016923,0.0000000000000000000000000000000000000000000000002011249376441175,0.00000000000000000000000000000000000000000000000000000000000000000000028618119649786707,0.0625,0.99995761287397
0.125,1,-0.000000000000000000000000000000000000016244944876548203,-0.00000000000000000000000000000000000000000001534816730492859,0.0000000000000000000000000000000000000000000000000000000000000015526872155907753,0.0625,0.9999576128739698
0.15625,1,-0.00000000000000000000000000000000007557775069642539,0.000000000000000000000000000000000000000010720474442661159,0.0000000000000000000000000000000000000000000000000000000009484348067529003,0.0625,0.9999576128739698
0.1875,1,-0.00000000000000000000000000000006976250200860962,0.0000000000000000000000000000000000000847373175808527,0.0000000000000000000000000000000000000000000000000000606485371031925,0.0625,0.9999576128739698
0.21875,1,-0.000000000000000000000000000015947651355317968,0.00000000000000000000000000000000022823134428631315,0.00000000000000000000000000000000000000000000000053526081283370596,0.0625,0.9999576128739698
0.25,1,-0.0000000000000000000000000011829156098881177,0.000000000000000000000000000000014654123539429283,0.0000000000000000000000000000000000000000000008756168668496133,0.0625,0.9999576128739698
0.28125,1,-0.000000000000000000000000033675551629939654,0.000000000000000000000000000000264199721299405,0.00000000000000000000000000000000000000000030245919042593598,0.0625,0.9999576128739698
0.3125,1,-0.0000000000000000000000004427658501847091,0.000000000000000000000000000002106436711098993,0.00000000000000000000000000000000000000002758167453554506,0.0625,0.9999576128739698
0.34375,1,-0.0000000000000000000000031431601307919533,0.000000000000000000000000000009111109635967797,0.0000000000000000000000000000000000000008362323389883172,0.0625,0.99995761287397
0.375,1,-0.000000000000000000000013186446213715083,0.00000000000000000000000000002410491143116167,0.000000000000000000000000000000000000010473900502428391,0.0625,0.9999576128739708
0.40625,1,-0.00000000000000000000003399798305019707,0.000000000000000000000000000044544017999237317,0.00000000000000000000000000000000000006524867897310281,0.0625,0.999957612873973
0.4375,1,-0.00000000000000000000005325413052482883,0.00000000000000000000000000006931361239628405,0.00000000000000000000000000000000000022597861072845357,0.0625,0.9999576128739771
0.46875,1,-0.000000000000000000000043976629513478646,0.00000000000000000000000000010111262288441025,0.0000000000000000000000000000000000004624326634136067,0.0625,0.9999576128739809
0.5,1,-0.000000000000000000000000000026850812691860375,0.00000000000000000000000000012532156245292333,0.0000000000000000000000000000000000005840182139315737,0.0625,0.9999576128739825
0.53125,1,0.00000000000000000000004397660027697438,0.0000000000000000000000000001117306198828203,0.00000000000000000000000000000000000046243303321520904,0.0625,0.9999576128739809
0.5625,1,0.00000000000000000000005325414205604568,0.0000000000000000000000000000608442629785337,0.00000000000000000000000000000000000022597897498737045,0.0625,0.9999576128739769
0.59375,1,0.0000000000000000000000339980079791232,0.000000000000000000000000000012581689917454343,0.0000000000000000000000000000000000000652488346468036,0.0625,0.999957612873973
0.625,1,0.000000000000000000000013186460923000804,-0.000000000000000000000000000006219852911658127,0.00000000000000000000000000000000000001047393209990834,0.0625,0.9999576128739708
0.65625,1,0.0000000000000000000000031431644011834917,-0.0000000000000000000000000000052217712717386514,0.0000000000000000000000000000000000000008362350860056991,0.0625,0.99995761287397
0.6875,1,0.0000000000000000000000004427664537512817,-0.0000000000000000000000000000015744821564304528,0.000000000000000000000000000000000000000027581741475142877,0.0625,0.9999576128739698
0.71875,1,0.00000000000000000000000003367558106720947,-0.0000000000000000000000000000002319809449924304,0.0000000000000000000000000000000000000000003024589634314642,0.0625,0.9999576128739698
0.75,1,0.000000000000000000000000001182914593446459,-0.000000000000000000000000000000015590862628020932,0.0000000000000000000000000000000000000000000008756096230713204,0.0625,0.9999576128739698
0.78125,1,0.000000000000000000000000000015947554520428446,-0.00000000000000000000000000000000035795972651668574,0.0000000000000000000000000000000000000000000000005352475163225605,0.0625,0.9999576128739698
0.8125,1,0.00000000000000000000000000000006976146241669102,-0.0000000000000000000000000000000000015475853499766193,0.00000000000000000000000000000000000000000000000000006064562623255834,0.0625,0.9999576128739698
0.84375,1,0.00000000000000000000000000000000007557777963061366,0.00000000000000000000000000000000000000007740667417570314,0.0000000000000000000000000000000000000000000000000000000009484358671821974,0.0625,0.9999576128739698
0.875,1,0.000000000000000000000000000000000000016244977914589835,0.00000000000000000000000000000000000000000007256739941495596,0.0000000000000000000000000000000000000000000000000000000000000015526926814627417,0.0625,0.9999576128739698
0.90625,1,0.0000000000000000000000000000000000000000009304431345439748,0.000000000000000000000000000000000000000000000008484718064329707,0.00000000000000000000000000000000000000000000000000000000000000000000028618366331933974,0.0625,0.9999576128739698
0.9375,1,0.000000000000000000000000000000000000000000000017834456612641376,0.000000000000000000000000000000000000000000000000000033103853687248593,0.000000000000000000000000000000000000000000000000000000000000000000000000000004941039774096516,0.0625,0.9999576128739696
