x,y,z,vx,vy,vz,h,u
0.000000000000000000000000000000000000000000026512482038670064,0.000000000000000000000000000000000000000000026717821038871923,0.00000000000000000000000000000000000000000002737523417937451,0.000000000000000000000000000000000000000030383161483353743,0.000000000000000000000000000000000000000030882195326526436,0.000000000000000000000000000000000000000031614092013436356,0.04998625218666988,0.0000000000000000000000000000000000000007776950662976305
0.041666666666666664,0.00000000000000000000000000000000000000010110971240078283,0.00000000000000000000000000000000000000010411628191778722,-0.000000000000000000000003427462867461879,0.00000000000000000000000000000000000009720458608546748,0.00000000000000000000000000000000000010064802716023672,0.049986252186669876,0.00000000000000000000000000000000023981902979824395
0.08333333333333333,0.00000000000000000000000000000000000016615864382117764,0.00000000000000000000000000000000000017411812003381423,-0.0000000000000000000053072772230312016,0.00000000000000000000000000000000012600667749747034,0.00000000000000000000000000000000013153551577491537,0.04998625218666983,0.00000000000000000000000000001624640213171972
0.125,0.00000000000000000000000000000000009103547572658725,0.0000000000000000000000000000000000967271609917131,-0.0000000000000000020685286239323456,0.00000000000000000000000000000005873563384790525,0.00000000000000000000000000000006161610445743085,0.0499862521866673,0.0000000000000000000000001510871573900629
0.16666666666666666,0.000000000000000000000000000000012040674805888082,0.000000000000000000000000000000013132171386108003,-0.0000000000000002657734077191563,0.000000000000000000000000000006847595502319675,0.000000000000000000000000000007338283792715258,0.04998625218659438,0.00000000000000000000028698192524603846
0.2083333333333333,0.000000000000000000000000000000803361027965967,0.0000000000000000000000000000007801320322276598,-0.000000000000014020692672949338,0.0000000000000000000000000003603407804904555,0.00000000000000000000000000036001096785993617,0.04998625218542892,0.00000000000000000014690130566162248
0.24999999999999925,0.000000000000000000000000000024357675973101054,0.00000000000000000000000000002541679553668486,-0.0000000000003306381527550276,0.000000000000000000000000009543002662358108,0.000000000000000000000000009793411918081567,0.049986252174356816,0.000000000000000022215609575728
0.291666666666657,0.00000000000000000000000000017714265744510041,0.0000000000000000000000000001812592677661105,-0.0000000000039499700839866465,0.00000000000000000000000006702994302826872,0.0000000000000000000000000652654245346976,0.04998625210725616,0.0000000000000012171517725182353
0.3333333333332622,0.000000000000000000000000003418129385015432,0.0000000000000000000000000034338239604429325,-0.000000000027327541747103387,0.0000000000000000000000011007260227144227,0.000000000000000000000001104492615021382,0.04998625182968962,0.00000000000002951634775051255
0.3749999999996741,0.000000000000000000000000021291557734824398,0.000000000000000000000000021655512675258446,-0.00000000011883289074415483,0.0000000000000000000000065724177513095005,0.000000000000000000000006666096389981797,0.04998625101193452,0.0000000000003576894776301534
0.41666666666576596,0.00000000000000000000000007093061453414805,0.00000000000000000000000006811116022887813,-0.0000000003169910155362537,0.000000000000000000000023001802451431078,0.000000000000000000000022435536859107866,0.049986249297964545,0.000000000002383292161650008
0.45833333333214155,0.00000000000000000000000018345108438324808,0.0000000000000000000000001551763733906181,-0.0000000004111682276689796,0.00000000000000000000005530899665288043,0.00000000000000000000004498924386917046,0.04998624697470773,0.000000000008763689362565181
0.5,0.0000000000000000000000004643701933608151,0.00000000000000000000000043060852160369,0.000000000000000000000009275898095463647,0.00000000000000000000014001959283340637,0.00000000000000000000012904048544543964,0.049986245680712804,0.000000000015212579661892075
0.5416666666678583,0.0000000000000000000000001481151093959404,0.00000000000000000000000013137193037485422,0.0000000004111682276689864,0.00000000000000000000004303757054750596,0.000000000000000000000034478226472548346,0.04998624697470771,0.00000000000876368936256497
0.583333333334234,0.00000000000000000000000007047799392752599,0.00000000000000000000000007377945932863138,0.0000000003169910155362513,0.000000000000000000000022196153271621083,0.000000000000000000000022521077794420068,0.04998624929796456,0.0000000000023832921616499993
0.6250000000003259,0.000000000000000000000000020938965972285567,0.000000000000000000000000020046367482086415,0.00000000011883289074415403,0.000000000000000000000005758614116705554,0.000000000000000000000005656143892782785,0.049986251011934525,0.0000000000003576894776301525
0.6666666666667379,0.000000000000000000000000003375031675076094,0.000000000000000000000000003418541393574093,0.000000000027327541747103732,0.0000000000000000000000011268326962118937,0.000000000000000000000001158117016445442,0.0499862518296896,0.00000000000002951634775051282
0.7083333333333428,0.00000000000000000000000000018690491321500995,0.0000000000000000000000000001952758587671751,0.000000000003949970083986694,0.00000000000000000000000006055960928141856,0.00000000000000000000000007280316614389805,0.04998625210725616,0.0000000000000012171517725183011
0.7500000000000007,0.00000000000000000000000000002726873177596698,0.000000000000000000000000000023211430141911865,0.00000000000033063815275503967,0.000000000000000000000000011204006494050295,0.000000000000000000000000009135711671125339,0.04998625217435682,0.000000000000000022215609575729126
0.7916666666666666,0.0000000000000000000000000000009406357999108352,0.0000000000000000000000000000010123635610751774,0.000000000000014020692672949962,0.0000000000000000000000000004305898835015121,0.0000000000000000000000000004499931525566653,0.0499862521854289,0.00000000000000000014690130566163073
0.8333333333333333,0.000000000000000000000000000000015260764860426124,0.000000000000000000000000000000015057718390964003,0.00000000000000026577340771916864,0.000000000000000000000000000008817620975743785,0.000000000000000000000000000008884622278110615,0.04998625218659439,0.00000000000000000000028698192524605934
0.875,0.00000000000000000000000000000000011764433049520206,0.0000000000000000000000000000000001169048866974155,0.0000000000000000020685286239324646,0.00000000000000000000000000000007558436070149385,0.00000000000000000000000000000007597991145307299,0.0499862521866673,0.0000000000000000000000001510871573900753
0.9166666666666666,0.00000000000000000000000000000000000023104236907944,0.00000000000000000000000000000000000022268629788113274,0.0000000000000000000053072772230314844,0.0000000000000000000000000000000001763760350089083,0.00000000000000000000000000000000017291198375057263,0.049986252186669806,0.000000000000000000000000000016246402131720954
