m,x,y,vx,vy,u,h,rho
0.02,-0.09663738708125887,0.15712715868318994,-0.037759859095706824,-0.04221581917955826,0.07621724553669586,0.1165440761744154,2.1203717748630155
0.02,-0.1423761143384034,-0.29762121596599117,-0.00446789539073241,-0.02567263224153027,-0.02733648339550815,0.1284478044432003,1.7455774035102105
0.02,-0.19216747924080796,0.05577295100631743,0.01576368527522518,0.03316141010777586,0.05827804412838695,0.11947174517588262,2.0177254513278626
0.02,0.49196494257100204,0.38859335805920076,0.013554200639822569,0.007264619691998214,-0.06643383681738102,0.20290211891008025,0.699550803163196
0.02,0.32674480009353873,0.2458813305392586,0.011029564946803721,-0.03129267973248429,0.04510665099350971,0.1388618435034951,1.4935734834279049
0.02,0.07938281095294064,-0.43635967096275635,0.0026871207387205677,0.00253378357503632,-0.12322471044857079,0.14593763190150336,1.3522527987047912
0.02,-0.0881236540954062,0.5792789375982451,-0.008238807494577984,0.014891774169202097,0.004291886698345389,0.1852704915782368,0.8390347772256567
0.02,0.4767478345887268,-0.32842739996351866,0.033052324025663285,0.030156681418918127,0.042290082396057936,0.17725093078104429,0.9166749574448041
0.02,-0.06459174701529237,-0.22492870608401624,-0.06213165003874835,-0.015345720266536184,-0.0028457983295079588,0.123529136364172,1.8873543920884104
0.02,0.23351729626141038,-0.13764411153936507,0.00111115917254897,-0.04491688337672425,-0.025463560631891556,0.12395812235480294,1.8743142644447925
0.02,-0.1360875720484946,-0.590589463809458,-0.009994758201648635,0.0038482982056820135,-0.00500645978242117,0.19085085927922882,0.7906861531032924
0.02,0.3738451748910403,-0.4775129734301129,0.03352646899158602,0.014605594932925072,-0.05412850265643261,0.1865710434551562,0.827377884884754
0.02,0.3990446217992778,-0.15326423693633867,0.028716215128887466,-0.016093872139107467,0.053267975203076925,0.13932456902068086,1.483668928542221
0.02,0.15877872917350505,0.38570829174413834,-0.03684160198565188,-0.013160310043478295,0.05115385259257432,0.14241213294147284,1.4200331576491725
0.02,-0.04821387236547235,-0.13166644942817796,0.0049363128534911805,-0.001754943862749641,0.004485217603416443,0.11997107760755467,2.0009627630582476
0.02,-0.19367581366751271,-0.05285236458350654,0.01457285708996532,-0.062329933752712854,-0.03850042930460403,0.1198609823233213,2.0046412842006593
0.02,-0.24818296647099725,0.27342180817012884,-0.006658475891391549,0.023458317213801004,-0.035688979588247106,0.13193298443599802,1.65457214182256
0.02,-0.5326199509143121,-0.08395930591008045,-0.014041156197863268,-0.0027006457808510047,-0.09768538672089884,0.16255044930879095,1.0899738576665965
0.02,-0.012495138486186386,-0.616586073105051,-0.027252046301585245,0.01351897165499227,-0.08888311256802407,0.19388244769147323,0.7661527939246394
0.02,-0.40007370173911955,0.11471630158816934,-0.011965222466569931,0.025791453946389493,-0.04504043651267665,0.1403584257389422,1.4618914888055354
0.02,0.1490658558815214,-0.3890540610779314,0.020476604502947388,0.002301346023334195,-0.03878441805892391,0.14153783556319924,1.4376307807155835
0.02,0.10561067249718949,-0.04737092448892685,0.004920983574599562,-0.010858053206549515,0.01748594774123927,0.1175646758618418,2.083717040311552
0.02,-0.35980959285659386,0.2907278124058073,0.04214319292722696,0.008853227072293577,-0.026065811167774358,0.14800409377922116,1.3147555057575027
0.02,-0.2181975265694776,0.5908167156701114,-0.007205985211124054,-0.019876415751503455,-0.08417000735602012,0.20498610082059357,0.6853989674004387
0.02,0.3764614953549175,0.08389565730908312,0.028325617704053722,0.000435703253133806,-0.08759049833515818,0.1315280245970079,1.6647763307473897
0.02,-0.07947254062484886,0.25304386083766156,0.0013849413175954155,0.028765367645497426,0.018551659372522695,0.12278903160973778,1.9101749873729423
0.02,0.3272417493962766,-0.4662848177621451,-0.017282493027532285,0.00626542727620606,-0.22352724640013566,0.16767294151716444,1.0243927287011882
0.02,-0.263598631420111,-0.5442883450237704,-0.003383739290381455,0.03299556993037619,-0.16195947774562086,0.18993156354010426,0.7983574978706842
0.02,-0.37752560500248855,-0.18652892659403703,0.014891756825460794,-0.027639539233439904,0.02280729887748344,0.14245416488133567,1.4191951722641913
0.02,0.1273348879155466,-0.6126905326450426,-0.013657117791274266,-0.012722557868369755,-0.10849569761275236,0.1972770595201692,0.7400129414407844
0.02,-0.27755133920485314,-0.12242882271346102,-0.02859011063963545,-0.0074129472965986124,-0.07857764561762481,0.12670321532535758,1.7939784170841189
0.02,0.1943946535590294,-0.5432378579257079,-0.03025704957841112,-0.027688237283767413,-0.1061732773432624,0.17453531617756046,0.9454221938704301
0.02,0.05759196523237303,0.15446690376813677,-0.020737965597124472,0.029821885353822217,0.043001941102286174,0.11629576727167414,2.129436318615103
