m,x,y,z,vx,vy,vz,u,h,rho
1,0.024999999702091383,0.02499999970712688,0.02499999970712688,-0.0000008919057101126224,-0.0000008768941956412768,-0.0000008768941956412768,0.0000000024029266529624488,0.049981074048667085,1
1,0.024999999394275038,0.07500000017452758,0.07500000017452758,-0.0000018135255392912187,0.0000005231729935227255,0.0000005231729935227255,0.000000004865412967739215,0.049977892705309765,1
1,0.024999999339861682,0.125,0.125,-0.000001976219160664688,0.0000000000000000000017414997395548415,0.0000000000000000000017414997395548415,0.000000004940583214031432,0.049977892705309765,1
1,0.024999999339861682,0.175,0.175,-0.0000019762191606646768,0.00000000000000000000038963515573697813,0.00000000000000000000038963515573697813,0.000000005015241094920643,0.049977892705309765,1
1,0.024999999339861682,0.225,0.225,-0.000001976219160664669,-0.0000000000000000000023039296165316967,-0.0000000000000000000023039296165316967,0.000000005015241094920625,0.049977892705309765,1
1,0.024999999339861682,0.275,0.275,-0.000001976219160664672,0.00000000000000000000030154372922253095,0.00000000000000000000030154372922253095,0.000000005015241094920651,0.049977892705309765,1
1,0.024999999339861682,0.325,0.325,-0.000001976219160664688,0.000000000000000000002690176640479658,0.000000000000000000002690176640479658,0.000000005015241094920671,0.049977892705309765,1
1,0.024999999339861682,0.375,0.375,-0.0000019762191606646844,-0.000000000000000000005546371738621159,-0.000000000000000000005546371738621159,0.000000005015241094920689,0.049977892705309765,1
1,0.024999999339861682,0.42500000000000004,0.42500000000000004,-0.000001976219160664684,0.0000000000000000000006945670167485263,0.0000000000000000000006945670167485263,0.000000005015241094920688,0.049977892705309765,1
1,0.024999999339861682,0.47500000000000003,0.47500000000000003,-0.0000019762191606646874,0.00000000000000000000485519285366165,0.00000000000000000000485519285366165,0.00000000501524109492067,0.049977892705309765,1
1,0.024999999339861682,0.525,0.525,-0.000001976219160664685,-0.000000000000000000006196893042112462,-0.000000000000000000006196893042112462,0.000000005015241094920689,0.049977892705309765,1
1,0.024999999339861682,0.5750000000000001,0.5750000000000001,-0.0000019762191606647064,-0.0000000000000000000021785687403380605,-0.0000000000000000000021785687403380605,0.00000000501524109492078,0.049977892705309765,1
1,0.024999999339861682,0.625,0.625,-0.0000019762191606647073,0.000000000000000000001528047436846758,0.000000000000000000001528047436846758,0.000000005015241094920776,0.049977892705309765,1
1,0.024999999339861682,0.675,0.675,-0.0000019762191606647073,-0.000000000000000000001528047436846758,-0.000000000000000000001528047436846758,0.000000005015241094920784,0.049977892705309765,1
1,0.024999999339861682,0.725,0.725,-0.0000019762191606647056,0.000000000000000000006864355004548851,0.000000000000000000006864355004548851,0.00000000501524109492077,0.049977892705309765,1
1,0.024999999339861682,0.775,0.775,-0.000001976219160664682,-0.000000000000000000007630072788866738,-0.000000000000000000007630072788866738,0.000000005015241094920688,0.049977892705309765,1
1,0.024999999339861682,0.8250000000000001,0.8250000000000001,-0.0000019762191606647056,0.0000000000000000000007657177843178875,0.0000000000000000000007657177843178875,0.000000005015241094920781,0.049977892705309765,1
1,0.024999999339861682,0.875,0.875,-0.0000019762191606647073,0.000000000000000000001528047436846758,0.000000000000000000001528047436846758,0.000000005607803017277508,0.049977892705309765,1
1,0.024999999394275038,0.9250000002833543,0.9250000002833543,-0.0000018135255392912439,0.0000008485602362696419,0.0000008485602362696419,0.000000004214382598383537,0.049977892705309765,1
1,0.024999999702091383,0.9749999998349913,0.9749999998349913,-0.0000008919057101126333,-0.0000004948390341510846,-0.0000004948390341510846,0.0000000014095418150769762,0.049981074048667085,1
1,0.07500000015012431,0.02499999965501076,0.02499999965501076,0.000000449961823571971,-0.0000010328065884372215,-0.0000010328065884372215,0.0000000003515412446494217,0.04997670065397115,1
1,0.0750000007535093,0.07500000030455893,0.07500000030455893,0.0000022554694258318746,0.0000009121986739061251,0.0000009121986739061251,-0.000000003124162555877633,0.049971836697274404,1
1,0.07500000066013833,0.125,0.125,0.000001976219160664692,0.000000000000000000007931616518089266,0.000000000000000000007931616518089266,-0.0000000027637589061005878,0.049971836697274404,1
1,0.07500000066013833,0.175,0.175,0.0000019762191606646725,-0.0000000000000000000010835245461276998,-0.0000000000000000000010835245461276998,-0.0000000026816287773971516,0.049971836697274404,1
1,0.07500000066013833,0.225,0.225,0.000001976219160664664,-0.000000000000000000006413733476609563,-0.000000000000000000006413733476609563,-0.000000002681628777397129,0.049971836697274404,1
1,0.07500000066013833,0.275,0.275,0.0000019762191606646725,-0.0000000000000000000010015317568334831,-0.0000000000000000000010015317568334831,-0.0000000026816287773971694,0.049971836697274404,1
1,0.07500000066013833,0.325,0.325,0.000001976219160664692,0.000000000000000000008978549240895583,0.000000000000000000008978549240895583,-0.000000002681628777397193,0.049971836697274404,1
1,0.07500000066013833,0.375,0.375,0.0000019762191606646853,-0.000000000000000000008714952587710044,-0.000000000000000000008714952587710044,-0.0000000026816287773971926,0.049971836697274404,1
1,0.07500000066013833,0.42500000000000004,0.42500000000000004,0.0000019762191606646827,-0.000000000000000000001823492528849057,-0.000000000000000000001823492528849057,-0.0000000026816287773971897,0.049971836697274404,1
1,0.07500000066013833,0.47500000000000003,0.47500000000000003,0.000001976219160664693,0.000000000000000000010538445116559104,0.000000000000000000010538445116559104,-0.000000002681628777397197,0.049971836697274404,1
1,0.07500000066013833,0.525,0.525,0.000001976219160664685,-0.000000000000000000012748184669356122,-0.000000000000000000012748184669356122,-0.000000002681628777397189,0.049971836697274404,1
1,0.07500000066013833,0.5750000000000001,0.5750000000000001,0.0000019762191606647115,0.0000000000000000000012468324983583316,0.0000000000000000000012468324983583316,-0.0000000026816287773972757,0.049971836697274404,1
1,0.07500000066013833,0.625,0.625,0.000001976219160664711,0.0000000000000000000015280474368467577,0.0000000000000000000015280474368467577,-0.00000000268162877739728,0.049971836697274404,1
1,0.07500000066013833,0.675,0.675,0.000001976219160664711,-0.0000000000000000000015280474368467577,-0.0000000000000000000015280474368467577,-0.0000000026816287773972683,0.049971836697274404,1
